course_code	name	org_total_credits	org_type	org_lecture_credits	org_tutorial	org_practical	org_self_study	org_half_semester	org_prerequisite	org_text_reference	org_content	modtime	
AE 214	Thermodynamics	6	T 	2	0	1	0	N	Nil	1. Rogers, G. F. C. and Mayhew, Y. R., Engineering Thermodynamics: work and heat transfer, 4th ed., Longman, 1992.\015\0122. Nag, P. K., Engineering Thermodynamics, Tata McGraw Hill Co., 1989.\015\0123. Cohen , H.,  Rogers ,G. F. C. and Saravanamuttoo ,H. I. H., Gas Turbine Theory, 5th Ed., Pearson Education Asia, 2001.\015\0124. Sonntag ,R. E., Borgnakke ,C. and Van Wylen , G. J., Fundamentals of Thermodynamics, 6th ed., Wiley, 2002	Basic concepts: System boundary, surroundings, state, extensive and\015\012intensive properties, energy interactions, work and heat transfers, equilibrium, quasi-static and reversible processes, non-equilibrium and irreversible processes.\015\012\015\012Thermodynamic laws: Zeroth law and temperature, first law and internal energy, first law applied to flow processes, second law, entropy and absolute temperature, third law and absolute entropy, thermodynamics of simple compressible systems, energy and exergy.\015\012\015\012Applications: Closed and open systems, polytrophic processes, cyclic processes, Carnot cycle; Cycle analysis: Otto cycle, Diesel cycle, Joule-Brayton cycle; ideal and real cycles, design point analysis.\015\012\015\012Special topics: Elements of heat transfer and combustion, isentropic flow, flow with friction and heat transfer.\015\012\015\012Introduction to aerospace power plants: Piston prop, turboprop,\015\012turbojet, turbofan, turbo shaft, ramjet, rockets.	2009-06-03 10:16:50.63848	
AE 215	Aerospace Mesaurement Laboratory	4	L 	1	0	2	0	N	IC 211	1. Doeblin, E., Measurement Systems: Application and Design, 4th Ed., McGraw-Hill, New York, 1990.2. Grewal, M. S., Lawrence, R. and Andrews, A., GPS, INS and Integration, New York: John Wiley, 2001.3. Collinson, R. P. G., Introduction to Avionics, Chapman and Hall, 1996.4. Gayakwad, R. A., OPAMPs and Linear Integrated Circuits, 4th Ed., Prentice-Hall India, 2002.5. Titterton, D. H. and Weston, J. L., Strapdown Inertial Navigation Technology, 2nd Ed., AIAA Progress in Astronautics and Aeronautics, Vol. 207, 2004.6. Strang, G. and Borr, K., Linear Algebra, Geodesy and GPS, Wellesley-Cambridge Press, 1997.7. Setup User Manuals and Component Data Sheets.	Characteristics of measuring systems:  Calibration, sensitivity and error analysis.Air data measurements: Pressure altitude, airspeedFlow measurements: Hotwire anemometer, manometer, angle of attack sensorTemperature Measurements: Thermocouples, hot gas and cryogenic measurements, thermopilesStrain measurements: Strain gage types, strain gage sensitivity.Pressure measurements: Dependence of measurement dynamics on sensor construction.Inertial and GPS based sensors: Accelerometers and gyroscopes; position, velocity and time measurements.Attitude and heading reference systems: Errors in inertial sensors andcharacterization.Sensor interfacing: amplifiers, filters, and other signal conditioningcircuits, analog and digital conditioning, ADC/DAC, synchronous and asynchronous serial communication.	2014-01-30 10:11:20.813244	
AE 216	Fluid Mechanics	8	T 	3	0	1	0	N	Nil	1. White, F. M., Fluid Mechanics, 5th Ed., McGraw Hill 2003.\015\0122. Kundu, P. K. and Cohen, I. M., Fluid Mechanics, 2nd Ed., Academic Press 2002.\015\0123. Shames, I. H., Mechanics of Fluids, 4th Ed, McGraw Hill 2002.	Properties of fluid, Statics and Buoyancy.\015\012\015\012Kinematics of fluid motion; Lagrangian vs. Eulerian description of flow motion; Convective, temporal and substantive acceleration.\015\012\015\012Fundamental laws of Fluid Mechanics; Conservation of mass and momentum in 1D and 2D flows; Classification of Flows: Uniform vs. non-uniform flows, steady vs. unsteady flows, compressible and incompressible flows, ideal vs. real flows.\015\012\015\012Potential flow theory; Velocity potential and stream function formulations; Ideal flow past circular cylinder.\015\012\015\012Euler equation in 1D; Viscous flow on a flat plate; Boundary layer, displacement, momentum and energy thicknesses; Flow between two plates, flow in a pipe; Laminar flow vs. turbulent flow.\015\012\015\012Dimensional analysis and Buckingham pi theorem, Reynolds number; turbulence and turbulent flows; Frictional losses, losses in a pipe; Flow past cylinder, critical Reynolds numbers; Incompressible viscous flow past an airfoil, wakes, types of drags.\015\012\015\012Mach number and its importance in compressible flows; Equation of motion for compressible flow in 1D; Normal shock, Rankine Hugoniot relations, oblique shock relations, strong, weak and detached shocks.\015\012\015\012Rayleigh and Fanno flows, isentropic flows; Flow through variable area nozzle; Converging diverging nozzle, supersonic diffusers, supersonic wind tunnels, critical pressure ratios; Prandtl Meyer expansion and expansion fans, interaction of shock and expansion waves.\015\012	2009-06-03 10:18:49.453156	
AE 217	Measurements and Instrumentation	6	T 	6	1	0	0	N	Nil	E.Doeblin, Measurement Systems: Application and Design, 4th Edition, McGraw-Hill, New York, 1990. \015\012R.G. Beckwith, N.L. Buck & R.D. Marangoni, Mechanical Measurements, 3rd Edition, Narosa Pub. House, New Delhi, 1989. \015\012B.C. Nakra & K.K. Chaudhary, Instrumentation Measurement & Analysis, Tata McGraw-Hill, New Delhi, 1985. J.Millman & C.C. Halkias, Integrated Electronics, Tata McGraw-Hill, New Delhi, 1992.  	Elements of Measuring Systems and their functions, Calibration, Validity of results,Standards of Measurements, Accuracy, Precision, Sensitivity, Linearity, Hysteresis, Loading Effects, Resolution etc. Order of the sensor/instrument, Time constant, Rise time, Settling time, Dead time, Frequency & Damping. Error analysis motion, strain/force, fluid flow, pressure, flow velocity and direction, temperature and heat flux, sound pressure, frequency and phase. Fundamentals of Electronics, semiconductor transistors & diodes, small signal circuit analysis & gain relations, operational amplifier, instrumentation amplifier, filters, modulators and demodulators, fundamentals of digital circuits, logic gates, A/D and D/A converters, multiplexers, microprocessor etc.	2003-04-03 16:18:14	
AE 218	Aerospace Structures II	6	T 	6	1	0	0	N	AE 213	"T.H.G. Megson, Aircraft Structures for Engineering Students, 2nd Edward Arnold London, 1990.  \015\012Irving H. Shames and Clive L. Dym., ""Energy and Finite Element Methods on Structural Mechanics, Hemisphere Pub Corporation, McGraw-Hill Book Co., N.Y. 1985. \015\012E.F. Bruhn, Analysis and Design of Flight Vehicle Structures, Tri-State Offset Co., Cincinnati, Ohio, USA, 1965."	"Introduction to 3-D elasticity and Airy""s stress function. St.Venants Theory of Torsion. Energy theorems and their applications. Rayleigh methods of structural analysis with continuum and discrete coordinates. Concepts and principles of structural analysis and modelling. Development of simplified structural models and their applications to A/c components. Introduction to matrix methods of structural analysis and computer aided design."	2003-04-03 16:18:14	
AE 219	Supervised Learning	6	P 	2	0	1	0	N	""	""	""	2010-11-12 11:26:58.024136	
AE 220	Aerospace Structural Mechanics	8	T 	3	0	1	0	N	AE 209	1. Megson, T. H. G., Aircraft Structures for Engineering Students, Butterworth-Heinemann, 4th Ed., 2007.\015\0122. Peery, D. J., Aircraft Structures, McGraw-Hill Education, 1st Ed., 1950.\015\0123. Donaldson, B. K., Analysis of Aircraft Structures (Cambridge Aerospace Series), 2nd Ed., Cambridge University Press, 2008.\015\0124. Sun, C. T., Mechanics of Aircraft Structures, Wiley-Interscience, 1998.\015\0125. Bruhn, E. F., Analysis and Design of Flight Vehicle Structures, Jacobs Pub., 1973.\015\0126. Niu, M., Airframe Stress Analysis & Sizing, Adaso Adastra Engineering Center, 1998.\015\0127. Cutler, J. and Liber, J., Understanding Aircraft Structures, Wiley Blackwell, 4th Ed., 2006.	Introduction: semi-monocoque aerospace structures - Loads and Design considerations; construction concepts, layout, nomenclature and structural function of parts, strength vs stiffness based design.\015\012\015\012Torsion of non-circular prismatic beams:  importance of warping; St. Venant or Prandtl\302\222s formulation; Membrane analogy and its application to narrow rectangular cross-section.\015\012\015\012General formulation of Thin-Walled Beam (TWB) Theory: Cartesian and midline systems, CSRD & thin-wall assumptions, general expressions for dominant displacement, strain and stress fields, equilibrium equations in midline system, stress resultants and general boundary conditions.\015\012\015\012Torsion and Bending of TWBs: Torsion of single and multi cell closed sections - Bredt-Batho theory, shear flow, torsion constant, free warping calculation, concept of center of twist, torsional equilibrium equation and boundary conditions. Torsion of open TWBs without warp restraint, primary & secondary warping, St. Venant torsion constant. Uncoupled bending of open, closed, single cell, multi-cell TWBs - axial stress, shear flow, shear centre, displacement analysis. Torsion of open section TWBs with primary warp restraint - concept and theory of torsion bending, torsion bending constant, secondary warping restraint. Unsymmetric bending and coupled bending torsion analysis.\015\012\015\012Buckling of TWBs: Concept of structural instability, flexural buckling analysis, bending of beams under combined axial and lateral loads, short column and inelastic buckling. Pure torsional buckling and coupled flexural-torsional buckling of open TWBs. Introduction to the concept of buckling of plates, local buckling of TWBs. Introduction to buckling and post-buckling of stiffened skin panels, ultimate load carrying capacity of a typical semimonocoque TW box-section. Introduction to tension-field beams.\015\012\015\012	2009-06-03 10:29:58.224291	
AE 221	Foundations of Solid Mechanics	6	T 	0	0	0	0	 	""	""	""	2004-10-18 15:57:20	
AE 222	Aerodynamics I	6	T 	0	0	0	0	 	""	""	""	2004-10-18 15:57:20	
AE 223	Thermodynamics and Propulsion	6	T 	3	0	0	0	N	""	""	""		
AE 224	Thermodynamics and Propulsion	8	T 	0	0	0	0	 	""	""	""	2004-10-18 15:57:20	
AE 225	Incompressible Fluid Mechanics	6	T 	3	0	0	0	N	""	""	""		
AE 226	Solid Mechanics and Aircraft Structures	6	T 	0	0	0	0	 	""	""	""	2004-10-18 15:57:20	
AE 227	Solid Mechanics	6	T 	3	0	0	0	N	""	""	""		
AE 228	Engineering Design and Production Fundamentals	6	T 	0	0	0	0	 	""	""	""	2004-10-18 15:57:20	
AE 230	Modeling and Simulation Laboratory	5	L 	1.5	2	0	0	N	Nil	1. Ogata, K., System Dynamics, 4th Ed. Pearson Education LPE, 2004.\015\0122. Doebelin, E. O., System Dynamics: modeling, analysis, simulation, designs New York: Marcel Dekker, 1998.\015\0123. User Manuals for the Setups and AMESim Engg. System Modelling & Simulation Software Tool	Introduction: Objectives, concepts and types of models. \015\012\015\012Modeling: Analytical and experimental modeling of simple mechanical, hydraulic, thermal and structural systems.  Transfer function and block diagram representation.\015\012\015\012Time response: First and second order systems. System representation and simulation using MATLAB, SIMULINK and AMESim tools. \015\012\015\012Quantifying Uncertainty: Use of simulation to quantify the uncertainty in system response and performance caused by uncertainty in model parameters and inputs. \015\012\015\012Special topic: Software simulation of stiff systems and\015\012impact of integration time step on methodology and response.  \015\012\015\012Lab project: Application of modelling and simulation methodologies to a complex engineering system.	2009-06-03 10:52:34.856581	
AE 232	Supervised Learning	6	P 	2	0	1	0	N	""	""	""	2010-11-12 11:27:14.457711	
AE 234	Aircraft Propulsion	6	T 	3	0	0	0	N	""	""	""		
AE 236	Compressible Fluid Mechanics	6	T 	3	0	0	0	N	""	""	""		
AE 238	Aerospace Structural Mechanics	6	T 	3	0	0	0	N	""	""	""		
AE 240	Spaceflight Mechanics	6	T 	3	0	0	0	N	""	""	""		
AE 242	Aerospace Measurements Laboratory	6	L 	2	0	2	0	N	""	""	""		
AE 301	Fluid Mechanics II	6	T 	6	1	0	0	N	AE 206	H W Liepmann and A. Roshko, Elements of Gas Dynamics, John Wiley, 1958  \015\012A H Shapiro, Dynamics and Thermodynamics of  Compressible Fluid Flow, Vols. 1 and 2,Ronald Press Co.	Basic equations of motion.  Small perturbation methods in subsonic and supersonic Flows.  Similarity rules in high speed flows.  Transonic flows.  Normal and oblique  Shocks.  Conical flow.  Flow in ducts of variable cross section.  Method of Characteristics and design of supersonic nozzles.  Viscous effects in compressible Flows. Hypersonic flows.	2005-01-03 11:28:39	
AE 302	Aerodynamics of Aerospace Vehicles	6	T 	0	0	0	0	 	""	""	""	2004-10-18 15:57:24	
AE 303	Aerospace Structures II	6	T 	0	0	0	0	 	""	""	""	2004-10-18 15:57:24	
AE 304	Aerospace Structures III	6	T 	0	0	0	0	 	""	""	""	2004-10-18 15:57:24	
AE 305	Flight Mechanics II	6	T 	2	0	1	0	N	AE 152	1. Stengel, R. F., Flight Dynamics, Princeton University Press, 2004.\015\0122. Roskam, J., Airplane Flight Dynamics and Automatic Flight Controls, DAR Corporation, 1995.\015\0123. Nelson, R. C., Flight Stability and Automatic Control, Mc Graw Hill International, 1990.\015\0124. Etkin, B. and Duffy, L. D., Dynamics of Flight: stability and control, John Wiley, NY 1995.\015\0125. Perkins, C. D. and Hage, R. E., Airplane Performance Stability and Control, Wiley, New York, 1949.	Introduction: Equilibrium, static stability, control.\015\012\015\012Longitudinal stability and control: Longitudinal equilibrium and static stability, stick fixed neutral point, all moving horizontal tail OR elevator as longitudinal control.  Trimmed lift curve slope and advantages of reduced/negative longitudinal static stability.  Hinge moments, reversible control, stick force, and trim tab. Stick free static stability, stick-free neutral point.\015\012\015\012Lateral-directional stability and control: Directional equilibrium, stability and rudder as control.  Lateral stability, dihedral angle, aileron control.\015\012\015\012Dynamical equations: Euler angles. Body angular velocity and Euler angle rates.  Body-fixed axis, wind axis, stability axes.  Equations of motion of rigid aircraft in body fixed axes.  Stability derivatives.  Steady flight and perturbed flight leading to linearised equations of motion.\015\012\015\012Aircraft motion modes: Decoupling of longitudinal dynamics and lateral-directional dynamics.  Short period and phugoid modes of longitudinal dynamics.  Dutch roll, spiral and roll subsidence modes of lateral-directional dynamics.  Effect of winds. Flight simulation.	2009-06-03 11:06:41.702829	
AE 306	Computational Mechanics	8	T 	0	0	0	0	 	""	""	""	2004-10-18 15:57:24	
AE 307	System Modelling and Dynamics	6	T 	2	1	0	0	N	""	" K. Ogata, ""Modern Control Engineering"", Prentice-Hall India,New Delhi,1986.\015\012 J.J.D""Azzo & C.H. Houpis, ""Linear Control System Analysis and Design"", 4th Ed., McGraw Hill, New York, 1995. \015\012 W. Weaver, S.P. Timoshenko and D.H. Young, ""Vibration Problems in Engineering"", 5th ed., John-Wiley & Sons, 1990. \015\012"	" Introduction to modelling of systems: objective, concepts, types of models, Examples of interacting dynamic systems. Dynamic classical models of smple physical systems: Fluid level, Thermal, Electrical and Mechanical networks. Dynamic Models of Electrical and Hydraulic actuation systems, typical complex systems. Block Diagram representation and manipulation. Signal flow graph, Masons Gain formula. Laplace Transform, Transfer function, Transient response of First and second order systems. Characteristic Equation, representation on ""s"" plane. Concept of stability, Rouths criterion. Introduction to state space Models and Eigenvalues. Single degree of freedom system vibrations, Free and Forced Undamped and Damped Vibrations, Introduction to Vibration Isolation. "	2003-04-03 16:18:14	
AE 308	Control Theory	6	T 	2	0	1	0	N	AE 230	1. Ogata, K., Modern Control Engineering, 4th Ed., Prentice Hall India, 2006.\015\0122. Kuo, B. C. and Golnaraghi, F., Automatic Control Systems, 8th Ed., John Wiley & Sons, 2003.\015\0123. D`Azzo , J. J. and Houpis , C. H., Linear Control Systems Analysis and Design - Conventional and Modern, 4th Ed., McGraw-Hill, 1995.	Introduction: Control objectives and tasks, open- and closed-loop control structures, negative and positive feedback.\015\012System response: Impulse response, convolution integral, \015\012response of higher order systems to arbitrary and standard inputs in Laplace and time domains, qualitative dependence on poles and zeros, dominant poles.\015\012Stability: Asymptotic and bounded-input-bounded-output stability, characteristic equation and its roots, role of characteristic roots in stability, Routh`s criterion, relative and absolute stability, impact of positive feedback on stability.\015\012Root locus analysis: Closed-loop stability analysis using root locus, impact of open-loop poles and zeros on the root locus, root locus for positive feedback systems, effect of gain in the feedback path, root loci for multiple parameters.\015\012Frequency response: Magnitude and phase, frequency response of higher order systems, Bode, polar and Nichols plots, bandwidth, Nyquist stability criterion, gain and phase margins. \015\012Standard control actions: Proportional control, steady state error constants, system type, tracking control and integral control, lag compensator, transient response improvement and derivative control, lead compensators.\015\012Control design: Closed-loop performance specifications, gain and phase margins as design specifications, use of root locus, Bode plots in design, design rules for lag and lead compensators.\015\012Special Topics: Non-minimum phase systems, PID Controllers and lag-lead compensators, controllers in the feedback path, closed-loop robustness.\015\012	2009-06-03 10:58:30.286198	
AE 309	Aircraft Propulsion	6	T 	6	1	0	0	N	AE 202	Cohen, Rogers and Saravanamutto, Gas Turbine Theory Longman,1987  \015\012G.C Oates (Ed.) Aerothermodynamics of Aircraft Engine Components,AIAA, 1985.	Introduction to various aircraft propulsive devices: Piston-prop, Turboprop, Turbojet, Turbofan, Turboshaft, Ramjet, Vectored-thrust, Lift engines. Gas Turbine cycles and cycle based performance analysis; 1-D and 2-D analysis of flow through gas turbine components -Intake, Compressors, Turbines, Combustion Chamber, Afterburner, and nozzle. Compressor and Turbine blade shapes; cascade theory; radial equilibrium theory; matching of compressor and turbine. Turbine cooling. Single spool Multi-spool engines. Powerplant performance with varying speed and altitude.  	2003-04-03 16:18:14	
AE 310	Engineering Design Optimization	6	T 	2	0	1	0	N	Nil	1. Arora, J. S., Introduction to Optimum Design, McGraw-Hill, 1989.\015\0122. Deb, K., Optimization for Engineering Design -Algorithms and Examples, Prentice Hall India, 1995.\015\0123. Rao, S. S., Engineering Optimization: Theory and Practice, 3rd edition, New Age International, 1998.	Introduction: design process; problem formulation in design, design variables, objective function, equality and inequality constraints, classification of optimization problems,  local and global optima, nonlinear and linear problems.\015\012\015\012Theoretical Concepts: unconstrained optima, constrained optima, Lagrange multipliers, post optimality analysis.  \015\012\015\012Linear Programming:  problem definition, basic concepts and LP terminology, Simplex method, 2-phase Simplex.\015\012\015\012Gradient based Optimization Methods: Non-linear programming, steepest descent, conjugate-gradient method, Newton\302\222s methods, BFGS, SLP algorithm, CSD method.\015\012\015\012Evolutionary and other Global methods: Genetic Algorithms, Simulated Annealing, Ant Colony, Particle Swarm.\015\012\015\012Special Topics: Meta Modelling techniques, Multi-criteria Optimization, introduction to Multi-disciplinary Design Optimization	2009-06-03 11:16:35.400252	
AE 311	Aircraft Production Laboratory	3	L 	0	0	0	0	 	""	""	""	2004-10-18 15:57:22	
AE 312	Aerodynamics Laboratory	5	L 	5	3	1	0	N	AE 206	1. Goldstein , R. J., Fluid Mechanics Measurements, Taylor and Francis, 1996.	Types of wind tunnels and their characteristics, wind tunnel corrections\015\012\015\012Flow past bluff and a streamlined bodies and measurement of pressure drag.\015\012\015\012Wall shear flows, free shear flows, development of boundary layer on flat plate with and without pressure gradient, free shear layer in a jet, estimation of drag by wake survey method.\015\012\015\012Flow in a variable area duct and experimental determination of mass flow coefficient.\015\012\015\012Flow visualisation methods, surface flow methods and colour die injection method.\015\012\015\012Measurement of unsteady flow using hot-wire and laser Doppler velocimeter.\015\012\015\012	2011-04-27 11:39:42.728305	
AE 313	Flight Mechanics Laboratory	0	N 	0	0	0	0	 	""	""	""	2004-10-18 15:57:24	
